Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCR05,10.1,Low Fat,0.054939848,Health and Hygiene,199.5084,OUT017,2007,,Tier 2,Supermarket Type1,3372.9428
FDZ12,9.17,Low Fat,0.10339830900000001,Baking Goods,143.947,OUT018,2009,Medium,Tier 3,Supermarket Type2,2576.646
FDK51,19.85,Low Fat,0.005235143,Dairy,265.8884,OUT046,1997,Small,Tier 1,Supermarket Type1,2649.884
FDD26,,Regular,0.071806046,Canned,186.5924,OUT027,1985,Medium,Tier 3,Supermarket Type3,5182.5872
NCF55,6.675,LF,0.021710275,Household,34.9874,OUT045,2002,,Tier 2,Supermarket Type1,247.0118
FDQ08,15.7,Regular,0.031685529,Fruits and Vegetables,63.1536,OUT010,1998,,Tier 3,Grocery Store,122.5072
FDI09,20.75,Regular,0.129337594,Seafood,238.188,OUT046,1997,Small,Tier 1,Supermarket Type1,5033.448
FDR09,18.25,Low Fat,0.07784544,Snack Foods,260.5962,OUT049,1999,Medium,Tier 1,Supermarket Type1,3884.9429999999998
FDO39,6.985,Regular,0.137926458,Meat,184.7608,OUT018,2009,Medium,Tier 3,Supermarket Type2,4042.7376
DRF51,15.75,Low Fat,0.166513779,Dairy,38.0506,OUT018,2009,Medium,Tier 3,Supermarket Type2,265.6542
NCF07,9.0,Low Fat,0.032203667000000005,Household,100.8016,OUT017,2007,,Tier 2,Supermarket Type1,1113.2176
DRG23,8.88,Low Fat,0.086764795,Hard Drinks,153.8682,OUT035,2004,Small,Tier 2,Supermarket Type1,1829.6184
NCL53,7.5,LF,0.060649825,Health and Hygiene,177.4028,OUT010,1998,,Tier 3,Grocery Store,354.2056
FDW46,13.0,Regular,0.070243155,Snack Foods,65.7484,OUT013,1987,High,Tier 3,Supermarket Type1,391.4904
FDX50,20.1,Low Fat,0.074565098,Dairy,111.3228,OUT013,1987,High,Tier 3,Supermarket Type1,663.1368
FDD35,12.15,Low Fat,0.026010729,Starchy Foods,119.14399999999999,OUT017,2007,,Tier 2,Supermarket Type1,2157.192
FDK43,9.8,Low Fat,0.02681843,Meat,126.00200000000001,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534
FDP12,9.8,Regular,0.045522854,Baking Goods,35.0874,OUT017,2007,,Tier 2,Supermarket Type1,352.874
FDS33,6.67,Regular,0.0,Snack Foods,90.5514,OUT018,2009,Medium,Tier 3,Supermarket Type2,974.0654
DRG51,12.1,Low Fat,0.011563024,Dairy,164.9526,OUT045,2002,,Tier 2,Supermarket Type1,2302.3364
DRD25,6.135,LF,0.079293753,Soft Drinks,111.286,OUT018,2009,Medium,Tier 3,Supermarket Type2,2263.72
FDX55,15.1,Low Fat,0.0,Fruits and Vegetables,216.4166,OUT045,2002,,Tier 2,Supermarket Type1,2830.3158
FDG32,,low fat,0.17514326,Fruits and Vegetables,222.3772,OUT027,1985,Medium,Tier 3,Supermarket Type3,9562.2196
NCN14,,Low Fat,0.160936178,Others,184.2608,OUT019,1985,Small,Tier 1,Grocery Store,367.5216
FDD08,8.3,Low Fat,0.03532494,Fruits and Vegetables,38.9506,OUT013,1987,High,Tier 3,Supermarket Type1,721.0614
DRG15,6.13,Low Fat,0.076721393,Dairy,59.4536,OUT035,2004,Small,Tier 2,Supermarket Type1,2021.3688
FDY15,18.25,Regular,0.17152392800000002,Dairy,155.863,OUT018,2009,Medium,Tier 3,Supermarket Type2,2346.945
FDC15,18.1,LF,0.178975721,Dairy,155.5288,OUT017,2007,,Tier 2,Supermarket Type1,1571.2879999999998
FDW10,21.2,Low Fat,0.118297605,Snack Foods,175.037,OUT010,1998,,Tier 3,Grocery Store,529.311
DRN59,15.0,Low Fat,0.064271703,Hard Drinks,45.506,OUT045,2002,,Tier 2,Supermarket Type1,466.06
FDE35,,Regular,0.0,Starchy Foods,59.8904,OUT027,1985,Medium,Tier 3,Supermarket Type3,1757.7120000000002
FDU57,8.27,reg,0.089554186,Snack Foods,150.8708,OUT046,1997,Small,Tier 1,Supermarket Type1,2407.5328
DRL01,19.5,Regular,0.07729230200000001,Soft Drinks,235.3958,OUT049,1999,Medium,Tier 1,Supermarket Type1,6309.7866
FDV38,19.25,Low Fat,0.101932076,Dairy,54.5956,OUT049,1999,Medium,Tier 1,Supermarket Type1,764.3384
FDR52,,Regular,0.13314425900000001,Frozen Foods,190.8846,OUT019,1985,Small,Tier 1,Grocery Store,191.0846
FDJ55,12.8,Regular,0.023664054,Meat,226.0404,OUT017,2007,,Tier 2,Supermarket Type1,5400.9696
FDQ31,5.785,Regular,0.054066567,Fruits and Vegetables,87.0856,OUT018,2009,Medium,Tier 3,Supermarket Type2,1406.1696
FDU11,4.785,Low Fat,0.092781435,Breads,119.7098,OUT045,2002,,Tier 2,Supermarket Type1,1807.6470000000002
FDV21,11.5,LF,0.171779865,Snack Foods,126.0704,OUT018,2009,Medium,Tier 3,Supermarket Type2,1627.2152
NCU18,,Low Fat,0.09776872800000001,Household,142.4496,OUT019,1985,Small,Tier 1,Grocery Store,564.5984
FDG47,12.8,Low Fat,0.070012633,Starchy Foods,262.8252,OUT017,2007,,Tier 2,Supermarket Type1,2885.5772
FDR08,18.7,Low Fat,0.037622954,Fruits and Vegetables,110.7886,OUT046,1997,Small,Tier 1,Supermarket Type1,1334.2632
DRG23,8.88,Low Fat,0.086781204,Hard Drinks,152.2682,OUT046,1997,Small,Tier 1,Supermarket Type1,1829.6184
NCH42,6.86,Low Fat,0.036530411,Household,227.801,OUT035,2004,Small,Tier 2,Supermarket Type1,3904.917
DRF48,5.73,Low Fat,0.05190652,Soft Drinks,188.1898,OUT045,2002,,Tier 2,Supermarket Type1,1496.7184
